zone_name,geometry
zona_029,"POLYGON((-77.11944254165776 -12.22666119105863, -77.12403834198675 -12.218881588078174, -77.13322994264469 -12.218881588078174, -77.13782574297367 -12.22666119105863, -77.13322994264469 -12.234440794039086, -77.12403834198675 -12.234440794039086, -77.11944254165776 -12.22666119105863))"
zona_030,"POLYGON((-77.1056536518948 -12.234440794039086, -77.11024958749121 -12.22666119105863, -77.11944145868401 -12.22666119105863, -77.12403739428042 -12.234440794039086, -77.11944145868401 -12.242220397019542, -77.11024958749121 -12.242220397019542, -77.1056536518948 -12.234440794039086))"
zona_031,"POLYGON((-77.09186530320156 -12.22666119105863, -77.09646110353054 -12.218881588078174, -77.10565270418849 -12.218881588078174, -77.11024850451747 -12.22666119105863, -77.10565270418849 -12.234440794039086, -77.09646110353054 -12.234440794039086, -77.09186530320156 -12.22666119105863))"
zona_032,"POLYGON((-77.07807641343861 -12.234440794039086, -77.08267234903502 -12.22666119105863, -77.09186422022782 -12.22666119105863, -77.09646015582423 -12.234440794039086, -77.09186422022782 -12.242220397019542, -77.08267234903502 -12.242220397019542, -77.07807641343861 -12.234440794039086))"
zona_033,"POLYGON((-77.06428806474537 -12.22666119105863, -77.06888386507435 -12.218881588078174, -77.0780754657323 -12.218881588078174, -77.08267126606128 -12.22666119105863, -77.0780754657323 -12.234440794039086, -77.06888386507435 -12.234440794039086, -77.06428806474537 -12.22666119105863))"
zona_034,"POLYGON((-77.05049917498242 -12.234440794039086, -77.05509511057883 -12.22666119105863, -77.06428698177163 -12.22666119105863, -77.06888291736804 -12.234440794039086, -77.06428698177163 -12.242220397019542, -77.05509511057883 -12.242220397019542, -77.05049917498242 -12.234440794039086))"
zona_035,"POLYGON((-77.03671082628918 -12.22666119105863, -77.04130662661817 -12.218881588078174, -77.05049822727611 -12.218881588078174, -77.0550940276051 -12.22666119105863, -77.05049822727611 -12.234440794039086, -77.04130662661817 -12.234440794039086, -77.03671082628918 -12.22666119105863))"
zona_036,"POLYGON((-77.02292193652623 -12.234440794039086, -77.02751787212264 -12.22666119105863, -77.03670974331544 -12.22666119105863, -77.04130567891185 -12.234440794039086, -77.03670974331544 -12.242220397019542, -77.02751787212264 -12.242220397019542, -77.02292193652623 -12.234440794039086))"
zona_037,"POLYGON((-77.00913358783298 -12.22666119105863, -77.01372938816196 -12.218881588078174, -77.0229209888199 -12.218881588078174, -77.02751678914889 -12.22666119105863, -77.0229209888199 -12.234440794039086, -77.01372938816196 -12.234440794039086, -77.00913358783298 -12.22666119105863))"
zona_038,"POLYGON((-76.99534469807003 -12.234440794039086, -76.99994063366644 -12.22666119105863, -77.00913250485924 -12.22666119105863, -77.01372844045565 -12.234440794039086, -77.00913250485924 -12.242220397019542, -76.99994063366644 -12.242220397019542, -76.99534469807003 -12.234440794039086))"
zona_039,"POLYGON((-76.98155634937679 -12.22666119105863, -76.98615214970577 -12.218881588078174, -76.99534375036372 -12.218881588078174, -76.9999395506927 -12.22666119105863, -76.99534375036372 -12.234440794039086, -76.98615214970577 -12.234440794039086, -76.98155634937679 -12.22666119105863))"
zona_040,"POLYGON((-76.96776745961384 -12.234440794039086, -76.97236339521025 -12.22666119105863, -76.98155526640305 -12.22666119105863, -76.98615120199946 -12.234440794039086, -76.98155526640305 -12.242220397019542, -76.97236339521025 -12.242220397019542, -76.96776745961384 -12.234440794039086))"
zona_041,"POLYGON((-76.9539791109206 -12.22666119105863, -76.95857491124958 -12.218881588078174, -76.96776651190753 -12.218881588078174, -76.97236231223651 -12.22666119105863, -76.96776651190753 -12.234440794039086, -76.95857491124958 -12.234440794039086, -76.9539791109206 -12.22666119105863))"
zona_042,"POLYGON((-76.94019022115765 -12.234440794039086, -76.94478615675406 -12.22666119105863, -76.95397802794686 -12.22666119105863, -76.95857396354327 -12.234440794039086, -76.95397802794686 -12.242220397019542, -76.94478615675406 -12.242220397019542, -76.94019022115765 -12.234440794039086))"
zona_043,"POLYGON((-76.92640187246441 -12.22666119105863, -76.9309976727934 -12.218881588078174, -76.94018927345134 -12.218881588078174, -76.94478507378032 -12.22666119105863, -76.94018927345134 -12.234440794039086, -76.9309976727934 -12.234440794039086, -76.92640187246441 -12.22666119105863))"
zona_044,"POLYGON((-76.91261298270146 -12.234440794039086, -76.91720891829787 -12.22666119105863, -76.92640078949067 -12.22666119105863, -76.93099672508708 -12.234440794039086, -76.92640078949067 -12.242220397019542, -76.91720891829787 -12.242220397019542, -76.91261298270146 -12.234440794039086))"
zona_045,"POLYGON((-76.89882463400821 -12.22666119105863, -76.90342043433719 -12.218881588078174, -76.91261203499513 -12.218881588078174, -76.91720783532412 -12.22666119105863, -76.91261203499513 -12.234440794039086, -76.90342043433719 -12.234440794039086, -76.89882463400821 -12.22666119105863))"
zona_046,"POLYGON((-76.88503574424526 -12.234440794039086, -76.88963167984167 -12.22666119105863, -76.89882355103447 -12.22666119105863, -76.90341948663088 -12.234440794039086, -76.89882355103447 -12.242220397019542, -76.88963167984167 -12.242220397019542, -76.88503574424526 -12.234440794039086))"
zona_047,"POLYGON((-76.87124739555202 -12.22666119105863, -76.875843195881 -12.218881588078174, -76.88503479653895 -12.218881588078174, -76.88963059686793 -12.22666119105863, -76.88503479653895 -12.234440794039086, -76.875843195881 -12.234440794039086, -76.87124739555202 -12.22666119105863))"
zona_048,"POLYGON((-76.85745850578907 -12.234440794039086, -76.86205444138548 -12.22666119105863, -76.87124631257828 -12.22666119105863, -76.87584224817469 -12.234440794039086, -76.87124631257828 -12.242220397019542, -76.86205444138548 -12.242220397019542, -76.85745850578907 -12.234440794039086))"
zona_049,"POLYGON((-76.84367015709583 -12.22666119105863, -76.84826595742481 -12.218881588078174, -76.85745755808276 -12.218881588078174, -76.86205335841174 -12.22666119105863, -76.85745755808276 -12.234440794039086, -76.84826595742481 -12.234440794039086, -76.84367015709583 -12.22666119105863))"
zona_050,"POLYGON((-76.82988126733288 -12.234440794039086, -76.83447720292929 -12.22666119105863, -76.84366907412209 -12.22666119105863, -76.8482650097185 -12.234440794039086, -76.84366907412209 -12.242220397019542, -76.83447720292929 -12.242220397019542, -76.82988126733288 -12.234440794039086))"
zona_051,"POLYGON((-77.16080866969152 -12.218881588078172, -77.16540433484576 -12.211101985097716, -77.17459566515424 -12.211101985097716, -77.17919133030848 -12.218881588078172, -77.17459566515424 -12.226661191058628, -77.16540433484576 -12.226661191058628, -77.16080866969152 -12.218881588078172))"
zona_052,"POLYGON((-77.14702032062756 -12.211101985097716, -77.15161585069974 -12.20332238211726, -77.16080691084407 -12.20332238211726, -77.16540244091625 -12.211101985097716, -77.16080691084407 -12.218881588078172, -77.15161585069974 -12.218881588078172, -77.14702032062756 -12.211101985097716))"
zona_053,"POLYGON((-77.13323143123533 -12.218881588078172, -77.13782709638957 -12.211101985097716, -77.14701842669805 -12.211101985097716, -77.1516140918523 -12.218881588078172, -77.14701842669805 -12.226661191058628, -77.13782709638957 -12.226661191058628, -77.13323143123533 -12.218881588078172))"
zona_054,"POLYGON((-77.11944308217137 -12.211101985097716, -77.12403861224355 -12.20332238211726, -77.13322967238788 -12.20332238211726, -77.13782520246006 -12.211101985097716, -77.13322967238788 -12.218881588078172, -77.12403861224355 -12.218881588078172, -77.11944308217137 -12.211101985097716))"
zona_055,"POLYGON((-77.10565419277913 -12.218881588078172, -77.11024985793337 -12.211101985097716, -77.11944118824185 -12.211101985097716, -77.12403685339609 -12.218881588078172, -77.11944118824185 -12.226661191058628, -77.11024985793337 -12.226661191058628, -77.10565419277913 -12.218881588078172))"
zona_056,"POLYGON((-77.09186584371517 -12.211101985097716, -77.09646137378735 -12.20332238211726, -77.10565243393168 -12.20332238211726, -77.11024796400386 -12.211101985097716, -77.10565243393168 -12.218881588078172, -77.09646137378735 -12.218881588078172, -77.09186584371517 -12.211101985097716))"
zona_057,"POLYGON((-77.07807695432294 -12.218881588078172, -77.08267261947718 -12.211101985097716, -77.09186394978566 -12.211101985097716, -77.0964596149399 -12.218881588078172, -77.09186394978566 -12.226661191058628, -77.08267261947718 -12.226661191058628, -77.07807695432294 -12.218881588078172))"
