hexagono_id,hexagono_shape,centroid_lat,centroid_lon,nombdep,nombprov,nombdist,has_coverage,city,zone_rappi
zona_000103,"POLYGON ((-71.80127062375564 -16.388881588078174, -71.80361151504238 -16.384991786587946, -71.80829329761588 -16.384991786587946, -71.81063418890261 -16.388881588078174, -71.80829329761588 -16.392771389568402, -71.80361151504238 -16.392771389568402, -71.80127062375564 -16.388881588078174))",-16.388881588078174,-71.80595240632913,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000104,"POLYGON ((-71.79424692038754 -16.384991786587946, -71.79658776494061 -16.381101985097718, -71.80126945404676 -16.381101985097718, -71.80361029859984 -16.384991786587946, -71.80126945404676 -16.388881588078174, -71.79658776494061 -16.388881588078174, -71.79424692038754 -16.384991786587946))",-16.384991786587946,-71.79892860949369,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000105,"POLYGON ((-71.78722303008477 -16.388881588078174, -71.78956392137151 -16.384991786587946, -71.79424570394501 -16.384991786587946, -71.79658659523174 -16.388881588078174, -71.79424570394501 -16.392771389568402, -71.78956392137151 -16.392771389568402, -71.78722303008477 -16.388881588078174))",-16.388881588078174,-71.79190481265826,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000106,"POLYGON ((-71.78019932671667 -16.384991786587946, -71.78254017126974 -16.381101985097718, -71.7872218603759 -16.381101985097718, -71.78956270492897 -16.384991786587946, -71.7872218603759 -16.388881588078174, -71.78254017126974 -16.388881588078174, -71.78019932671667 -16.384991786587946))",-16.384991786587946,-71.78488101582282,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000107,"POLYGON ((-71.7731754364139 -16.388881588078174, -71.77551632770063 -16.384991786587946, -71.78019811027413 -16.384991786587946, -71.78253900156086 -16.388881588078174, -71.78019811027413 -16.392771389568402, -71.77551632770063 -16.392771389568402, -71.7731754364139 -16.388881588078174))",-16.388881588078174,-71.77785721898738,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000108,"POLYGON ((-71.7661517330458 -16.384991786587946, -71.76849257759888 -16.381101985097718, -71.77317426670503 -16.381101985097718, -71.7755151112581 -16.384991786587946, -71.77317426670503 -16.388881588078174, -71.76849257759888 -16.388881588078174, -71.7661517330458 -16.384991786587946))",-16.384991786587946,-71.77083342215195,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000109,"POLYGON ((-71.75912784274303 -16.388881588078174, -71.76146873402976 -16.384991786587946, -71.76615051660326 -16.384991786587946, -71.76849140789 -16.388881588078174, -71.76615051660326 -16.392771389568402, -71.76146873402976 -16.392771389568402, -71.75912784274303 -16.388881588078174))",-16.388881588078174,-71.76380962531651,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000110,"POLYGON ((-71.75210413937494 -16.384991786587946, -71.75444498392801 -16.381101985097718, -71.75912667303416 -16.381101985097718, -71.76146751758723 -16.384991786587946, -71.75912667303416 -16.388881588078174, -71.75444498392801 -16.388881588078174, -71.75210413937494 -16.384991786587946))",-16.384991786587946,-71.75678582848109,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000111,"POLYGON ((-71.74508024907216 -16.388881588078174, -71.7474211403589 -16.384991786587946, -71.7521029229324 -16.384991786587946, -71.75444381421913 -16.388881588078174, -71.7521029229324 -16.392771389568402, -71.7474211403589 -16.392771389568402, -71.74508024907216 -16.388881588078174))",-16.388881588078174,-71.74976203164564,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000112,"POLYGON ((-71.73805654570405 -16.384991786587946, -71.74039739025713 -16.381101985097718, -71.74507907936328 -16.381101985097718, -71.74741992391635 -16.384991786587946, -71.74507907936328 -16.388881588078174, -71.74039739025713 -16.388881588078174, -71.73805654570405 -16.384991786587946))",-16.384991786587946,-71.7427382348102,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000113,"POLYGON ((-71.7310326554013 -16.388881588078174, -71.73337354668803 -16.384991786587946, -71.73805532926153 -16.384991786587946, -71.74039622054826 -16.388881588078174, -71.73805532926153 -16.392771389568402, -71.73337354668803 -16.392771389568402, -71.7310326554013 -16.388881588078174))",-16.388881588078174,-71.73571443797478,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000114,"POLYGON ((-71.72400895203319 -16.384991786587946, -71.72634979658626 -16.381101985097718, -71.73103148569241 -16.381101985097718, -71.73337233024549 -16.384991786587946, -71.73103148569241 -16.388881588078174, -71.72634979658626 -16.388881588078174, -71.72400895203319 -16.384991786587946))",-16.384991786587946,-71.72869064113934,AREQUIPA,AREQUIPA,YURA,True,0,0
zona_000115,"POLYGON ((-71.71698506173041 -16.388881588078174, -71.71932595301715 -16.384991786587946, -71.72400773559065 -16.384991786587946, -71.72634862687738 -16.388881588078174, -71.72400773559065 -16.392771389568402, -71.71932595301715 -16.392771389568402, -71.71698506173041 -16.388881588078174))",-16.388881588078174,-71.7216668443039,AREQUIPA,AREQUIPA,YURA,True,0,0
zona_000116,"POLYGON ((-71.70996135836232 -16.384991786587946, -71.7123022029154 -16.381101985097718, -71.71698389202155 -16.381101985097718, -71.71932473657462 -16.384991786587946, -71.71698389202155 -16.388881588078174, -71.7123022029154 -16.388881588078174, -71.70996135836232 -16.384991786587946))",-16.384991786587946,-71.71464304746847,AREQUIPA,AREQUIPA,YURA,True,0,0
zona_000117,"POLYGON ((-71.70293746805955 -16.388881588078174, -71.70527835934628 -16.384991786587946, -71.70996014191978 -16.384991786587946, -71.71230103320651 -16.388881588078174, -71.70996014191978 -16.392771389568402, -71.70527835934628 -16.392771389568402, -71.70293746805955 -16.388881588078174))",-16.388881588078174,-71.70761925063303,AREQUIPA,AREQUIPA,YURA,True,0,0
zona_000118,"POLYGON ((-71.69591376469145 -16.384991786587946, -71.69825460924453 -16.381101985097718, -71.70293629835068 -16.381101985097718, -71.70527714290375 -16.384991786587946, -71.70293629835068 -16.388881588078174, -71.69825460924453 -16.388881588078174, -71.69591376469145 -16.384991786587946))",-16.384991786587946,-71.7005954537976,AREQUIPA,AREQUIPA,YURA,True,0,0
