hexagono_id,hexagono_shape,centroid_lat,centroid_lon,nombdep,nombprov,nombdist,has_coverage,city,zone_rappi
zona_000464,"POLYGON ((-71.3674359174011 -16.722154689723105, -71.37212580237295 -16.71437508674265, -71.38150557231663 -16.71437508674265, -71.38619545728848 -16.722154689723105, -71.38150557231663 -16.72993429270356, -71.37212580237295 -16.72993429270356, -71.3674359174011 -16.722154689723105))",-16.722154689723105,-71.37681568734479,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000466,"POLYGON ((-71.33925371545413 -16.722154689723105, -71.34394360042599 -16.71437508674265, -71.35332337036967 -16.71437508674265, -71.35801325534152 -16.722154689723105, -71.35332337036967 -16.72993429270356, -71.34394360042599 -16.72993429270356, -71.33925371545413 -16.722154689723105))",-16.722154689723105,-71.34863348539783,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000467,"POLYGON ((-71.32516223174876 -16.72993429270356, -71.32985230808656 -16.722154689723105, -71.33923246076215 -16.722154689723105, -71.34392253709994 -16.72993429270356, -71.33923246076215 -16.737713895684017, -71.32985230808656 -16.737713895684017, -71.32516223174876 -16.72993429270356))",-16.72993429270356,-71.33454238442435,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000468,"POLYGON ((-71.31107151350717 -16.722154689723105, -71.31576139847903 -16.71437508674265, -71.3251411684227 -16.71437508674265, -71.32983105339456 -16.722154689723105, -71.3251411684227 -16.72993429270356, -71.31576139847903 -16.72993429270356, -71.31107151350717 -16.722154689723105))",-16.722154689723105,-71.32045128345086,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000469,"POLYGON ((-71.2969800298018 -16.72993429270356, -71.3016701061396 -16.722154689723105, -71.31105025881519 -16.722154689723105, -71.31574033515298 -16.72993429270356, -71.31105025881519 -16.737713895684017, -71.3016701061396 -16.737713895684017, -71.2969800298018 -16.72993429270356))",-16.72993429270356,-71.30636018247739,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000470,"POLYGON ((-71.28288931156023 -16.722154689723105, -71.28757919653208 -16.71437508674265, -71.29695896647576 -16.71437508674265, -71.30164885144761 -16.722154689723105, -71.29695896647576 -16.72993429270356, -71.28757919653208 -16.72993429270356, -71.28288931156023 -16.722154689723105))",-16.722154689723105,-71.29226908150392,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000479,"POLYGON ((-71.5083476919873 -16.70659548376219, -71.51303719453342 -16.698815880781734, -71.52241619962571 -16.698815880781734, -71.52710570217184 -16.70659548376219, -71.52241619962571 -16.714375086742645, -71.51303719453342 -16.714375086742645, -71.5083476919873 -16.70659548376219))",-16.70659548376219,-71.51772669707957,AREQUIPA,AREQUIPA,YARABAMBA,True,0,0
zona_000480,"POLYGON ((-71.49425620869016 -16.71437508674265, -71.49894590239813 -16.706595483762193, -71.50832528981405 -16.706595483762193, -71.51301498352203 -16.71437508674265, -71.50832528981405 -16.722154689723105, -71.49894590239813 -16.722154689723105, -71.49425620869016 -16.71437508674265))",-16.71437508674265,-71.5036355961061,AREQUIPA,AREQUIPA,YARABAMBA,True,0,0
zona_000481,"POLYGON ((-71.48016549004033 -16.70659548376219, -71.48485499258646 -16.698815880781734, -71.49423399767875 -16.698815880781734, -71.49892350022488 -16.70659548376219, -71.49423399767875 -16.714375086742645, -71.48485499258646 -16.714375086742645, -71.48016549004033 -16.70659548376219))",-16.70659548376219,-71.4895444951326,AREQUIPA,AREQUIPA,YARABAMBA,True,0,0
zona_000482,"POLYGON ((-71.4660740067432 -16.71437508674265, -71.47076370045117 -16.706595483762193, -71.48014308786709 -16.706595483762193, -71.48483278157507 -16.71437508674265, -71.48014308786709 -16.722154689723105, -71.47076370045117 -16.722154689723105, -71.4660740067432 -16.71437508674265))",-16.71437508674265,-71.47545339415913,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000483,"POLYGON ((-71.45198328809339 -16.70659548376219, -71.45667279063952 -16.698815880781734, -71.4660517957318 -16.698815880781734, -71.47074129827793 -16.70659548376219, -71.4660517957318 -16.714375086742645, -71.45667279063952 -16.714375086742645, -71.45198328809339 -16.70659548376219))",-16.70659548376219,-71.46136229318566,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000484,"POLYGON ((-71.43789180479624 -16.71437508674265, -71.44258149850421 -16.706595483762193, -71.45196088592013 -16.706595483762193, -71.4566505796281 -16.71437508674265, -71.45196088592013 -16.722154689723105, -71.44258149850421 -16.722154689723105, -71.43789180479624 -16.71437508674265))",-16.71437508674265,-71.44727119221217,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000485,"POLYGON ((-71.42380108614643 -16.70659548376219, -71.42849058869255 -16.698815880781734, -71.43786959378484 -16.698815880781734, -71.44255909633097 -16.70659548376219, -71.43786959378484 -16.714375086742645, -71.42849058869255 -16.714375086742645, -71.42380108614643 -16.70659548376219))",-16.70659548376219,-71.4331800912387,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000486,"POLYGON ((-71.40970960284929 -16.71437508674265, -71.41439929655726 -16.706595483762193, -71.42377868397318 -16.706595483762193, -71.42846837768116 -16.71437508674265, -71.42377868397318 -16.722154689723105, -71.41439929655726 -16.722154689723105, -71.40970960284929 -16.71437508674265))",-16.71437508674265,-71.41908899026522,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000487,"POLYGON ((-71.39561888419946 -16.70659548376219, -71.40030838674559 -16.698815880781734, -71.40968739183788 -16.698815880781734, -71.414376894384 -16.70659548376219, -71.40968739183788 -16.714375086742645, -71.40030838674559 -16.714375086742645, -71.39561888419946 -16.70659548376219))",-16.70659548376219,-71.40499788929174,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000488,"POLYGON ((-71.38152740090233 -16.71437508674265, -71.3862170946103 -16.706595483762193, -71.39559648202622 -16.706595483762193, -71.4002861757342 -16.71437508674265, -71.39559648202622 -16.722154689723105, -71.3862170946103 -16.722154689723105, -71.38152740090233 -16.71437508674265))",-16.71437508674265,-71.39090678831826,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000489,"POLYGON ((-71.36743668225252 -16.70659548376219, -71.37212618479865 -16.698815880781734, -71.38150518989093 -16.698815880781734, -71.38619469243706 -16.70659548376219, -71.38150518989093 -16.714375086742645, -71.37212618479865 -16.714375086742645, -71.36743668225252 -16.70659548376219))",-16.70659548376219,-71.37681568734479,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000490,"POLYGON ((-71.35334519895537 -16.71437508674265, -71.35803489266334 -16.706595483762193, -71.36741428007926 -16.706595483762193, -71.37210397378723 -16.71437508674265, -71.36741428007926 -16.722154689723105, -71.35803489266334 -16.722154689723105, -71.35334519895537 -16.71437508674265))",-16.71437508674265,-71.3627245863713,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000491,"POLYGON ((-71.33925448030556 -16.70659548376219, -71.34394398285168 -16.698815880781734, -71.35332298794397 -16.698815880781734, -71.3580124904901 -16.70659548376219, -71.35332298794397 -16.714375086742645, -71.34394398285168 -16.714375086742645, -71.33925448030556 -16.70659548376219))",-16.70659548376219,-71.34863348539783,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000492,"POLYGON ((-71.32516299700842 -16.71437508674265, -71.3298526907164 -16.706595483762193, -71.33923207813231 -16.706595483762193, -71.34392177184029 -16.71437508674265, -71.33923207813231 -16.722154689723105, -71.3298526907164 -16.722154689723105, -71.32516299700842 -16.71437508674265))",-16.71437508674265,-71.33454238442435,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000493,"POLYGON ((-71.3110722783586 -16.70659548376219, -71.31576178090472 -16.698815880781734, -71.32514078599701 -16.698815880781734, -71.32983028854314 -16.70659548376219, -71.32514078599701 -16.714375086742645, -71.31576178090472 -16.714375086742645, -71.3110722783586 -16.70659548376219))",-16.70659548376219,-71.32045128345086,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000494,"POLYGON ((-71.29698079506146 -16.71437508674265, -71.30167048876943 -16.706595483762193, -71.31104987618535 -16.706595483762193, -71.31573956989332 -16.71437508674265, -71.31104987618535 -16.722154689723105, -71.30167048876943 -16.722154689723105, -71.29698079506146 -16.71437508674265))",-16.71437508674265,-71.30636018247739,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
