zone_name,geometry,ccdd,nombdep,ccpp,nombprov,ccdi,nombdist,capital,ubigeo,idprov,codigo,cnt_ccpp,descripcio,poblacion,fecha,dat_pob,pobreza,internet_access,edad,tam,rmapshaperid
zona_407,"POLYGON ((-12.001052704625385 -77.07808444895376, -11.99327310164493 -77.0826763667926, -11.99327310164493 -77.09186020247024, -12.001052704625385 -77.09645212030908, -12.008832307605841 -77.09186020247024, -12.008832307605841 -77.0826763667926, -12.001052704625385 -77.07808444895376))",15,LIMA,1,LIMA,17,LOS OLIVOS,LAS PALMERAS,150117,1501,150117,1,LOS OLIVOS,362222,2020,INEI,7.9,80.2,80.0,214042,229
zona_407,"POLYGON ((-12.001052704625385 -77.07808444895376, -11.99327310164493 -77.0826763667926, -11.99327310164493 -77.09186020247024, -12.001052704625385 -77.09645212030908, -12.008832307605841 -77.09186020247024, -12.008832307605841 -77.0826763667926, -12.001052704625385 -77.07808444895376))",15,LIMA,1,LIMA,35,SAN MARTIN DE PORRES,BARRIO OBRERO INDUSTRIAL,150135,1501,150135,1,SAN MARTIN DE PORRES,740749,2020,INEI,10.35,80.2,80.0,426075,870
zona_408,"POLYGON ((-11.99327310164493 -77.06429609471074, -11.985493498664473 -77.06888788005703, -11.985493498664473 -77.07807145074962, -11.99327310164493 -77.08266323609591, -12.001052704625385 -77.07807145074962, -12.001052704625385 -77.06888788005703, -11.99327310164493 -77.06429609471074))",15,LIMA,1,LIMA,17,LOS OLIVOS,LAS PALMERAS,150117,1501,150117,1,LOS OLIVOS,362222,2020,INEI,7.9,80.2,80.0,214042,229
zona_409,"POLYGON ((-12.001052704625385 -77.05050721049757, -11.99327310164493 -77.05509912833641, -11.99327310164493 -77.06428296401405, -12.001052704625385 -77.06887488185289, -12.008832307605841 -77.06428296401405, -12.008832307605841 -77.05509912833641, -12.001052704625385 -77.05050721049757))",15,LIMA,1,LIMA,12,INDEPENDENCIA,INDEPENDENCIA,150112,1501,150112,1,INDEPENDENCIA,230144,2020,INEI,20.6,80.2,80.0,117243,810
zona_409,"POLYGON ((-12.001052704625385 -77.05050721049757, -11.99327310164493 -77.05509912833641, -11.99327310164493 -77.06428296401405, -12.001052704625385 -77.06887488185289, -12.008832307605841 -77.06428296401405, -12.008832307605841 -77.05509912833641, -12.001052704625385 -77.05050721049757))",15,LIMA,1,LIMA,17,LOS OLIVOS,LAS PALMERAS,150117,1501,150117,1,LOS OLIVOS,362222,2020,INEI,7.9,80.2,80.0,214042,229
zona_409,"POLYGON ((-12.001052704625385 -77.05050721049757, -11.99327310164493 -77.05509912833641, -11.99327310164493 -77.06428296401405, -12.001052704625385 -77.06887488185289, -12.008832307605841 -77.06428296401405, -12.008832307605841 -77.05509912833641, -12.001052704625385 -77.05050721049757))",15,LIMA,1,LIMA,35,SAN MARTIN DE PORRES,BARRIO OBRERO INDUSTRIAL,150135,1501,150135,1,SAN MARTIN DE PORRES,740749,2020,INEI,10.35,80.2,80.0,426075,870
zona_410,"POLYGON ((-11.99327310164493 -77.03671885625455, -11.985493498664473 -77.04131064160084, -11.985493498664473 -77.05049421229343, -11.99327310164493 -77.05508599763972, -12.001052704625385 -77.05049421229343, -12.001052704625385 -77.04131064160084, -11.99327310164493 -77.03671885625455))",15,LIMA,1,LIMA,12,INDEPENDENCIA,INDEPENDENCIA,150112,1501,150112,1,INDEPENDENCIA,230144,2020,INEI,20.6,80.2,80.0,117243,810
zona_411,"POLYGON ((-12.001052704625385 -77.02292997204138, -11.99327310164493 -77.02752188988022, -11.99327310164493 -77.03670572555787, -12.001052704625385 -77.0412976433967, -12.008832307605841 -77.03670572555787, -12.008832307605841 -77.02752188988022, -12.001052704625385 -77.02292997204138))",15,LIMA,1,LIMA,12,INDEPENDENCIA,INDEPENDENCIA,150112,1501,150112,1,INDEPENDENCIA,230144,2020,INEI,20.6,80.2,80.0,117243,810
zona_411,"POLYGON ((-12.001052704625385 -77.02292997204138, -11.99327310164493 -77.02752188988022, -11.99327310164493 -77.03670572555787, -12.001052704625385 -77.0412976433967, -12.008832307605841 -77.03670572555787, -12.008832307605841 -77.02752188988022, -12.001052704625385 -77.02292997204138))",15,LIMA,1,LIMA,28,RIMAC,RIMAC,150128,1501,150128,1,RIMAC,190288,2020,INEI,11.4,80.2,80.0,108171,809
zona_411,"POLYGON ((-12.001052704625385 -77.02292997204138, -11.99327310164493 -77.02752188988022, -11.99327310164493 -77.03670572555787, -12.001052704625385 -77.0412976433967, -12.008832307605841 -77.03670572555787, -12.008832307605841 -77.02752188988022, -12.001052704625385 -77.02292997204138))",15,LIMA,1,LIMA,32,SAN JUAN DE LURIGANCHO,SAN JUAN DE LURIGANCHO,150132,1501,150132,1,SAN JUAN DE LURIGANCHO,1150470,2020,INEI,17.7,80.2,80.0,607491,1413
