hexagono_id,hexagono_shape,centroid_lat,centroid_lon
zona_000027,"POLYGON ((-71.53651600141617 -16.98666119105863, -71.54121245022135 -16.978881588078174, -71.5506053478317 -16.978881588078174, -71.55530179663688 -16.98666119105863, -71.5506053478317 -16.994440794039086, -71.54121245022135 -16.994440794039086, -71.53651600141617 -16.98666119105863))",-16.98666119105863,-71.54590889902653
zona_000028,"POLYGON ((-71.52242451074646 -16.99444079403909, -71.52712115439975 -16.986661191058634, -71.53651444170633 -16.986661191058634, -71.54121108535962 -16.99444079403909, -71.53651444170633 -17.002220397019546, -71.52712115439975 -17.002220397019546, -71.52242451074646 -16.99444079403909))",-16.99444079403909,-71.53181779805304
zona_000029,"POLYGON ((-71.50833379946921 -16.98666119105863, -71.51303024827439 -16.978881588078174, -71.52242314588474 -16.978881588078174, -71.52711959468992 -16.98666119105863, -71.52242314588474 -16.994440794039086, -71.51303024827439 -16.994440794039086, -71.50833379946921 -16.98666119105863))",-16.98666119105863,-71.51772669707957
zona_000030,"POLYGON ((-71.49424230879951 -16.99444079403909, -71.4989389524528 -16.986661191058634, -71.50833223975938 -16.986661191058634, -71.51302888341267 -16.99444079403909, -71.50833223975938 -17.002220397019546, -71.4989389524528 -17.002220397019546, -71.49424230879951 -16.99444079403909))",-16.99444079403909,-71.5036355961061
zona_000031,"POLYGON ((-71.48015159752225 -16.98666119105863, -71.48484804632743 -16.978881588078174, -71.49424094393778 -16.978881588078174, -71.49893739274296 -16.98666119105863, -71.49424094393778 -16.994440794039086, -71.48484804632743 -16.994440794039086, -71.48015159752225 -16.98666119105863))",-16.98666119105863,-71.4895444951326
zona_000032,"POLYGON ((-71.46606010685255 -16.99444079403909, -71.47075675050584 -16.986661191058634, -71.48015003781242 -16.986661191058634, -71.48484668146571 -16.99444079403909, -71.48015003781242 -17.002220397019546, -71.47075675050584 -17.002220397019546, -71.46606010685255 -16.99444079403909))",-16.99444079403909,-71.47545339415913
zona_000033,"POLYGON ((-71.4519693955753 -16.98666119105863, -71.45666584438048 -16.978881588078174, -71.46605874199084 -16.978881588078174, -71.47075519079601 -16.98666119105863, -71.46605874199084 -16.994440794039086, -71.45666584438048 -16.994440794039086, -71.4519693955753 -16.98666119105863))",-16.98666119105863,-71.46136229318566
zona_000034,"POLYGON ((-71.43787790490559 -16.99444079403909, -71.44257454855888 -16.986661191058634, -71.45196783586546 -16.986661191058634, -71.45666447951875 -16.99444079403909, -71.45196783586546 -17.002220397019546, -71.44257454855888 -17.002220397019546, -71.43787790490559 -16.99444079403909))",-16.99444079403909,-71.44727119221217
zona_000035,"POLYGON ((-71.42378719362834 -16.98666119105863, -71.42848364243352 -16.978881588078174, -71.43787654004387 -16.978881588078174, -71.44257298884905 -16.98666119105863, -71.43787654004387 -16.994440794039086, -71.42848364243352 -16.994440794039086, -71.42378719362834 -16.98666119105863))",-16.98666119105863,-71.4331800912387
zona_000036,"POLYGON ((-71.40969570295864 -16.99444079403909, -71.41439234661193 -16.986661191058634, -71.42378563391851 -16.986661191058634, -71.4284822775718 -16.99444079403909, -71.42378563391851 -17.002220397019546, -71.41439234661193 -17.002220397019546, -71.40969570295864 -16.99444079403909))",-16.99444079403909,-71.41908899026522
